group	journal	year	work_id	title	term_type	term	occurrences
Literary / critical	New Literary History	2016	https://openalex.org/W2522286634	Latour, the Digital Humanities, and the Divided Kingdom of Knowledge	strong	digital humanities	1
Literary / critical	New Literary History	2017	https://openalex.org/W2786103434	"""Hey! What's the Big Idea?"": Ruminations on the Question of Scale in Intellectual History"	strong	distant reading	1
Literary / critical	New Literary History	2022	https://openalex.org/W4379410714	But Why Always the Novel? Midrange Reading Samples of Persons and Texts	strong	digital humanities	1
Literary / critical	New Literary History	2022	https://openalex.org/W4379410714	But Why Always the Novel? Midrange Reading Samples of Persons and Texts	strong	distant reading	1
Literary / critical	New Literary History	2022	https://openalex.org/W4379410714	But Why Always the Novel? Midrange Reading Samples of Persons and Texts	review_only	database	1
Literary / critical	New Literary History	2022	https://openalex.org/W4379410780	Why Distant Reading Works	strong	digital humanities	1
Literary / critical	New Literary History	2022	https://openalex.org/W4379410780	Why Distant Reading Works	strong	distant reading	3
Literary / critical	New Literary History	2022	https://openalex.org/W4379410780	Why Distant Reading Works	strong	cultural analytics	1
Literary / critical	New Literary History	2017	https://openalex.org/W2786674909	Afterword: Why Big, Why Now?	strong	digital humanities	1
Literary / critical	New Literary History	2023	https://openalex.org/W4386890820	Introduction, Literary Cybernetics: History, Theory, Post-Disciplinarity	strong	digital humanities	2
Literary / critical	Critical Inquiry	2020	https://openalex.org/W3113856539	The Universal Right to Breathe	review_only	digitization	1
Literary / critical	Critical Inquiry	2019	https://openalex.org/W2921304755	The Computational Case against Computational Literary Studies	strong	computational literary studies	1
Literary / critical	Critical Inquiry	2024	https://openalex.org/W4402039830	Unnatural Images: On AI-Generated Photographs	review_only	database	1
Literary / critical	Critical Inquiry	2009	https://openalex.org/W2079964902	Postdisciplinary Liaisons: Science Studies and the Humanities	strong	digital humanities	2
Literary / critical	Critical Inquiry	2023	https://openalex.org/W4380084764	What’s the Matter with Computational Literary Studies?	strong	computational literary studies	2
Literary / critical	Critical Inquiry	2022	https://openalex.org/W4280625873	Media: The Case of Spain and New Spain	review_only	database	1
Literary / critical	Critical Inquiry	2020	https://openalex.org/W3037443619	Romantic Disciplinarity and the Rise of the Algorithm	strong	digital humanities	1
Literary / critical	Critical Inquiry	2022	https://openalex.org/W4292656066	Big Earths of China: Remotely Sensing Xinjiang along the Belt and Road	review_only	database	1
Literary / critical	Critical Inquiry	2009	https://openalex.org/W3149740081	Postdisciplinary Liaisons: Science Studies and the Humanities	strong	digital humanities	2
Literary / critical	Critical Inquiry	2019	https://openalex.org/W4252731825	Daniel Shore. <i>Cyberformalism: Histories of Linguistic Forms in the Digital Archive</i>. Baltimore: Johns Hopkins University Press, 2018. 320 pp.	review_only	digital archive	1
Literary / critical	Critical Inquiry	2023	https://openalex.org/W4380079432	#COVID, Crisis, and the Search for Story in the Platform Age	strong	distant reading	1
Literary / critical	Critical Inquiry	2025	https://openalex.org/W4407895836	The Four-Color Theorem and the Aesthetics of Computational Proof	strong	digital humanities	1
Literary / critical	Modernism/modernity	2018	https://openalex.org/W2893147988	The Weak Powers of Digital Modernist Studies	strong	distant reading	1
Literary / critical	Modernism/modernity	2009	https://openalex.org/W1992933094	Versioning Virginia Woolf: Notes toward a Post-eclectic Edition of Three Guineas	review_only	digital archive	1
