work_key	canonical	htid_count	pd_count	record_count	matched_oclc	oclc_tried	sample_htids
OL38409911W	0	2	0	1	3555082	1	mdp.39015033600118|mdp.39015033600498
OL3841075W	0	2	0	1	2163835	1	uc1.b4402186|mdp.39015038021930
OL38422845W	0	1	1	1	2714594	1	mdp.39015030777349
OL38431896W	0	1	1	1	10538511	1	osu.32435017861121
OL38450278W	0	0	0	0		1	
OL3845345W	0	0	0	0		1	
OL3845347W	0	1	1	1	4012248	1	uva.x000897076
OL3845350W	0	0	0	0		2	
OL3845357W	0	1	0	1	3512115	2	uc1.b3267297
OL3845361W	0	0	0	0		2	
OL3845362W	0	0	0	0		3	
OL3845366W	0	0	0	0		2	
OL3845941W	0	1	0	1	13632340	4	uc1.b4530222
OL38461509W	0	0	0	0		1	
OL38462183W	0	0	0	0		1	
OL38464024W	0	1	1	1	2455784	1	wu.89098855414
OL38467278W	0	0	0	0		1	
OL38470659W	0	0	0	0		2	
OL38471438W	0	1	1	1	6191605	1	wu.89007675184
OL3847242W	0	2	2	1	1106927	3	uc1.b4097692|inu.30000121005759
OL3847246W	0	1	1	1	1138923	9	uiug.30112002548789
OL38472784W	0	0	0	0		2	
OL38476104W	0	1	1	1	2354481	1	msu.31293008247243
OL38480551W	0	2	0	1	2160698	3	mdp.39015008023742|uc1.$b698561
OL3848715W	0	0	0	0		1	
OL38491047W	0	1	1	1	40780320	1	umn.31951001690288x
OL38492148W	0	0	0	0		5	
OL38494154W	0	0	0	0		1	
OL3849658W	0	2	0	1	5466830	1	mdp.39015038165141|uc1.$b603730
OL38499493W	0	1	1	1	1868695	2	mdp.39015036880519
OL38507091W	0	1	0	1	1063689	4	uc1.32106009051720
OL38508390W	0	0	0	0		1	
OL38509135W	0	2	2	1	10351617	1	uc2.ark:/13960/t9k35qs3x|uc1.$b275438
OL38509996W	0	0	0	0		1	
OL38509998W	0	0	0	0		1	
OL3851049W	0	2	0	1	959215	4	uc1.$b87079|uc1.b3810948
OL3851058W	0	1	0	1	41075728	2	uc1.b3346592
OL3851060W	0	1	0	1	771109	1	mdp.39015008641071
OL3851063W	0	3	0	1	399248	1	uc1.b3868731|uc1.b3810876|mdp.39015011813105
OL3851077W	0	1	1	1	1131502	2	uc1.$b323533
OL3851080W	0	1	0	1	2913813	2	mdp.39015031222873
OL3851086W	0	1	0	1	3616596	5	mdp.39015024084603
OL38511609W	0	0	0	0		1	
OL38511970W	0	1	1	1	2734141	4	pst.000025730791
OL38512164W	0	0	0	0		2	
