openlibrary_work_key	selection_title	selection_author	search_author_variant	ia_identifier	ia_title	ia_creator	ia_date	ia_year	ia_mediatype	ia_language	ia_publisher	ia_subject	ia_description	ia_collection	review_label	review_note
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	bwb_Y0-BOK-528	The Great Gatsby	F. Scott Fitzgerald	1968-01-01T00:00:00Z	1968.0	texts	eng				['internetarchivebooks', 'printdisabled', 'inlibrary']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	bwb_C0-BHD-201	The Great Gatsby	F. Scott Fitzgerald	1925-01-01T00:00:00Z	1925.0	texts	eng	Charles Scribner's Sons			['internetarchivebooks']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	bwb_S0-CEK-970	The Great Gatsby	F. Scott Fitzgerald	1953-01-01T00:00:00Z	1953.0	texts	eng	Charles Scribner's Sons			['internetarchivebooks', 'printdisabled', 'inlibrary']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	bwb_S0-BPB-462	THE GREAT GATSBY	F. Scott Fitzgerald	1925-01-01T00:00:00Z	1925.0	texts	Eng	Charles Scribners Sons			['internetarchivebooks', 'fav-bookaish', 'fav-jesse_g220']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	bwb_Y0-EAL-647	The Great Gatsby	F. Scott Fitzgerald	1953-01-01T00:00:00Z	1953.0	texts					['internetarchivebooks', 'printdisabled', 'inlibrary']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	bwb_S0-EKZ-594	THE GREAT GATSBY	F. SCOTT FITZGERALD	1953-01-01T00:00:00Z	1953.0	texts	eng				['internetarchivebooks', 'printdisabled', 'inlibrary']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	bwb_C0-BXX-813	The Great Gatsby	F. Scott Fitzgerald	1925-01-01T00:00:00Z	1925.0	texts	eng	Charles Scribner's Sons			['internetarchivebooks']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	bwb_S0-EGP-758	The Great Gatsby	F. Scott Fitzgerald	1953-01-01T00:00:00Z	1953.0	texts	eng	Charles Scribner`s Sons			['internetarchivebooks', 'printdisabled', 'inlibrary']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	greatgatsby0000fsco_k3n7	The Great Gatsby	F. Scott Fitzgerald	1925-01-01T00:00:00Z	1925.0	texts	eng				['internetarchivebooks', 'fav-savannah_t755']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	bwb_KV-366-390	The Great Gatsby; The Last Tycoon	F. Scott Fitzgerald	1979-01-01T00:00:00Z	1979.0	texts					['internetarchivebooks', 'printdisabled', 'inlibrary']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	bwb_C0-BHF-103	The Great Gatsby	F. Scott Fitzgerald	1953-01-01T00:00:00Z	1953.0	texts	eng	Charles Scribner's Sons			['internetarchivebooks', 'printdisabled', 'inlibrary']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	bwb_T4-AKB-697	The Great Gatsby	F. Scott Fitzgerald	1933-01-01T00:00:00Z	1933.0	texts	ENG				['internetarchivebooks', 'printdisabled', 'inlibrary']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	bwb_T5-CUS-015	THE GREAT GATSBY	F. SCOTT FITZGERALD	1925-01-01T00:00:00Z	1925.0	texts		CHARLES SCRIBNER'S SONS			['internetarchivebooks']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	bwb_P9-EKU-208	The Great Gatsby	F. Scott Fitzgerald	1953-01-01T00:00:00Z	1953.0	texts	eng	Charles Scribner's Sons, New York			['internetarchivebooks', 'printdisabled', 'inlibrary', 'fav-peg_peck']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	greatgatsby0000fsco_y1z9	The Great Gatsby	F. Scott Fitzgerald	1925-01-01T00:00:00Z	1925.0	texts	eng				['internetarchivebooks']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	bwb_S0-DRT-067	The Great Gatsby	F. Scott Fitzgerald	1953-01-01T00:00:00Z	1953.0	texts	eng	Charles Scribner's Sons			['internetarchivebooks', 'printdisabled', 'inlibrary']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	the-great-gatsby-graphic-novel-adaptation-by-woodman-maynard_202506	The Great Gatsby Graphic Novel Adaptation By Woodman Maynard	K. Woodman-Maynard (Adaptation, based on the novel by F. Scott Fitzgerald)	2021-01-05T00:00:00Z	2021.0	texts	eng		['The Great Gatsby', 'graphic novel', 'adaptation', 'F. Scott Fitzgerald', 'classic literature', 'comics', 'illustrated', 'Roaring Twenties', 'jazz age', 'American dream', 'romance', 'tragedy', 'high school', 'education', 'young adult', 'literary analysis', 'historical fiction', 'F. Scott Fitzgerald graphic novel', 'classic comics', 'literary graphic novel', 'K. Woodman-Maynard']	From the green light across the bay to the billboard with spectacled eyes, F. Scott Fitzgerald’s 1925 American masterpiece roars to life in K. Woodman-Maynard’s exquisite graphic novel—among the first adaptations of the book in this genre. Painted in lush watercolors, the inventive interpretation emphasizes both the extravagance and mystery of the characters, as well as the fluidity of Nick Carraway’s unreliable narration. Excerpts from the original text wend through the illustrations, and imagery and metaphors are taken to literal, and often whimsical, extremes, such as when a beautiful partygoer blooms into an orchid and Daisy Buchanan pushes Gatsby across the sky on a cloud. This faithful yet modern adaptation will appeal to fans with deep knowledge of the classic, while the graphic novel format makes it an ideal teaching tool to engage students. With its timeless critique of class, power, and obsession,  The Great Gatsby Graphic Novel  captures the energy of an era and the enduring resonance of one of the world’s most beloved books.	['comics_inbox', 'comics', 'folkscanomy', 'fav-archiverman1234', 'fav-cosmos-hime', 'fav-defender_of_truth', 'fav-frank_page', 'fav-hastingsolivia', 'fav-iou_chickens', 'fav-jon_seibel', 'fav-kookaburratoo', 'fav-nguy_n_h_i_long122025', 'fav-orouu', 'fav-salvadortuscani', 'fav-theunknownshadow555']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	bwb_C0-BNW-071	The Great Gatsby	F. Scott Fitzgerald	1925-01-01T00:00:00Z	1925.0	texts		Charles Scribner's Sons			['internetarchivebooks', 'fav-boingercat']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	bwb_C0-CEH-064	The Great Gatsby	F. Scott Fitzgerald	1926-01-01T00:00:00Z	1926.0	texts	eng	F. Scott Fitzgerald			['internetarchivebooks', 'fav-chapalan']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	bwb_T5-CVH-698	the great gatsby	f. scott fitzgerald	1953-01-01T00:00:00Z	1953.0	texts					['internetarchivebooks', 'printdisabled', 'inlibrary']		
