work_id	htid_count	oclc_variants	title_htrc	date_htrc	prob80_max	englishpct_max	htids	wk_norm	match_method	match_score
OL109221W	3	2	The matador of the Five Towns, and other stories	1912	0.89	1.0	uc2.ark+=13960=t6057wc8c|nyp.33433074926498|uc2.ark+=13960=t7dr2sh01	/works/OL109221W	oclc	
OL109223W	5	1	Mr. Prohack	1922	0.89	1.0	mdp.39015025130165|mdp.39015031227633|nyp.33433074926506|uc1.b3811078|uc2.ark+=13960=t71v5cb31	/works/OL109223W	oclc	
OL109226W	3	1	Tales of the five towns	1905	0.86	1.0	inu.32000001172271|mdp.49015000916339|njp.32101007865775	/works/OL109226W	oclc	
OL109227W	7	3	Buried alive;	1910	0.86	1.0	nyp.33433074928932|uc2.ark+=13960=t22b9109k|mdp.39015060438564|mdp.39015060438572|mdp.39015060438580|nyp.33433074928940|uc2.ark+=13960=t8bg2mm3n	/works/OL109227W	oclc	
OL109228W	4	2	The roll-call	1918	0.89	1.0	uc1.b3811084|mdp.39015019774952|nyp.33433074926563|uc2.ark+=13960=t2k64gd1v	/works/OL109228W	oclc	
OL109229W	1	1	The ghost	1907	0.79	1.0	nyp.33433074928981	/works/OL109229W	oclc	
OL109230W	2	1	Hilda Lessways	1911	0.9	1.0	mdp.39015004743954|nyp.33433074926423	/works/OL109230W	oclc	
OL109231W	1	1	Leonora	1910	0.9	1.0	mdp.39015031225223	/works/OL109231W	oclc	
OL109232W	5	3	The regent;	1913	0.89	1.0	uc2.ark+=13960=t88g8mj8t|mdp.39015031225140|nyp.33433074926514|uc2.ark+=13960=t48p5xj8c|mdp.39015008816954	/works/OL109232W	oclc	
OL109233W	7	4	Anna of the five towns	1902	0.89	1.0	uc2.ark+=13960=t77s7kp6c|mdp.49015000914425|uva.x002027383|uc2.ark+=13960=t6154j42c|mdp.39015004933142|nyp.33433074928890|nyp.33433074928882	/works/OL109233W	oclc	
OL109236W	5	4	The old wives' tale	1911	0.89	1.0	uva.x000364836|uc2.ark+=13960=t1zc7xg33|coo.31924013586932|coo.31924065004404|nyp.33433074926530	/works/OL109236W	oclc	
OL1092920W	1	1	A weak woman	1911	0.89	1.0	mdp.39015031228722	/works/OL1092920W	oclc	
OL1093208W	1	1	The fur traders of the West, or, Adventures among the redskins	1896	0.88	1.0	nnc1.1002390256	/works/OL1093208W	oclc	
OL1094245W	5	4	"Vera, the medium; ""Miss Civilization"""	1908	0.88	1.0	wu.89099779894|mdp.39015063546249|uc2.ark+=13960=t0qr4nv6c|uc1.b3561864|nyp.33433074843164	/works/OL1094245W	oclc	
OL1094254W	3	1	Her first appearance	1901	0.82	1.0	nyp.33433074843305|uc2.ark+=13960=t3222rn9n|uc2.ark+=13960=t3hx16159	/works/OL1094254W	oclc	
OL1094603W	3	1	Mrs. Warren's daughter;	1920	0.83	1.0	mdp.39015030755410|nyp.33433074865464|uc2.ark+=13960=t9d50pg5p	/works/OL1094603W	oclc	
OL1094908W	2	1	Kami-no-michi	1910	0.67	0.999	mdp.39015041610695|uc2.ark+=13960=t40r9q932	/works/OL1094908W	oclc	
OL1096566W	4	3	The valley of shadows	1909	0.72	0.999	uiuo.ark+=13960=t00001h5b|uc2.ark+=13960=fk83j39n2w|uva.x000609795|uc1.31158004914536	/works/OL1096566W	oclc	
OL109804W	1	1	Christmas at Thompson Hall;	1894	0.85	1.0	mdp.39015005917128	/works/OL109804W	oclc	
OL109811W	1	1	Why Frau Frohmann raised her prices, and other stories	1882	0.83	1.0	inu.32000000662744	/works/OL109811W	oclc	
OL109831W	3	1	The fixed period	1882	0.81	1.0	dul1.ark+=13960=t16m3zq84|dul1.ark+=13960=t3qv47t8s|inu.32000009368012	/works/OL109831W	oclc	
OL1098394W	4	1	The three Mulla-mulgars	1919	0.82	1.0	mdp.39015065534730|nyp.33433082531447|uc1.b4087604|uc2.ark+=13960=t35145g5s	/works/OL1098394W	oclc	
OL1098497W	3	2	The return	1922	0.89	1.0	mdp.39015011331801|uc2.ark+=13960=t5db7zs8r|uc2.ark+=13960=t45q4v61q	/works/OL1098497W	oclc	
OL1098501W	4	2	Memoirs of a midget	1921	0.89	1.0	mdp.39015048709714|mdp.39015010296823|nyp.33433074963772|uc2.ark+=13960=t3cz3776r	/works/OL1098501W	oclc	
OL1098653W	2	2	A freelance in Kashmir;	1914	0.84	0.999	uc2.ark+=13960=t3kw5846r|uc2.ark+=13960=t9s17w66r	/works/OL1098653W	oclc	
OL109872W	4	2	The duke's children	1903	0.89	1.0	uc1.b4715032|uc1.b4715034|uva.x000470377|uva.x000470381	/works/OL109872W	oclc	
OL1099873W	1	1	To the sun?	1895	0.89	0.999	njp.32101021185879	/works/OL1099873W	oclc	
OL1099980W	1	1	An Antarctic mystery	1899	0.56	1.0	mdp.39015046862747	/works/OL1099980W	oclc	
OL1100441W	5	1	In Lincoln's chair	1920	0.58	1.0	mdp.39015059502396|nyp.33433076080542|uc2.ark+=13960=fk0ms3k234|uiuo.ark+=13960=t4nk3d51g|yale.39002002937002	/works/OL1100441W	oclc	
