id	title	ref_count
https://openalex.org/W4244073066	Front Matter	0
https://openalex.org/W2904299608	The Emergence of Desire: Notes Toward a Political History of the Will	7
https://openalex.org/W4242810687	Front Matter	0
https://openalex.org/W4241315816	Books and Discs of Critical Interest	0
https://openalex.org/W3149572075	Said, Palestine, and the Humanism of Liberation	0
https://openalex.org/W2024425186	Mozart and after: The Revolution in Musical Consciousness	0
https://openalex.org/W1993327297	"""Pleasure, Sex, and Politics Belong Together"": Post-Holocaust Memory and the Sexual Revolution in West Germany"	0
https://openalex.org/W2039459038	"Lawrence's ""Götterdämmerung"": The Tragic Vision of ""Women in Love"""	0
https://openalex.org/W2061901157	Fictions of Sappho	0
https://openalex.org/W3037055370	The Forgetting and Rediscovery of Soviet Machine Translation	36
https://openalex.org/W4256396554	Front Matter	0
https://openalex.org/W1985414747	A Round of <i>Renshi</i> and the Poet as Other: An Experiment in Poesis	1
https://openalex.org/W1989566053	Racism's Last Word	0
https://openalex.org/W4236254655		0
https://openalex.org/W4252624862	Global Comparativism	0
https://openalex.org/W2062619548	The Conflicts of the Faculty	9
https://openalex.org/W2177469336	From a Chomskian Couch: The Imperialistic Unconscious	5
https://openalex.org/W2086243845	Unsettled Scores: Meter and Play in Two Music Poems by Browning	6
https://openalex.org/W4414327599	Hate, Consent, Play	8
https://openalex.org/W4280573752	Peter Snowdon. <i>The People Are Not an Image: Vernacular Video After the Arab Spring</i>. New York: Verso Books, 2020. 304 pp.	0
https://openalex.org/W4242431855	In re: Paul de Man's War	0
https://openalex.org/W2519705011	André Bazin. <i>André Bazin’s New Media</i>. Trans. and ed. Dudley Andrew. Berkeley: University of California Press, 2014. 352 pp.	0
https://openalex.org/W2045565500	"Behaviorism and Deconstruction: A Comment on Morse Peckham's ""The Infinitude of Pluralism"""	0
https://openalex.org/W4242424740	Front Matter	0
https://openalex.org/W2046406166	The Architecture of Erasure	6
https://openalex.org/W2755964086	Mónica Amor. <i>Theories of the Nonobject: Argentina, Brazil, Venezuela, 1944–1969</i>. Berkeley, Calif: University of California Press, 2016. 344 pp.	0
https://openalex.org/W4235830499	Books of Critical Interest	0
https://openalex.org/W2921536434	Andrew Elfenbein. <i>The Gist of Reading</i>. Stanford, Calif.: Stanford University Press, 2018. 272 pp.	0
https://openalex.org/W2771401629	Auerbach and the Contradictions of Realism	0
https://openalex.org/W4200270216	Data as Symbolic Form: Datafication and the Imaginary Media of W. E. B. Du Bois	4
https://openalex.org/W4308984677	Thinking on Film with Arendt and Cavell	8
https://openalex.org/W1989586380	A World Too Much with Us	0
https://openalex.org/W2005142556	So... What Is Enlightenment? An Inquisition into Modernity	0
https://openalex.org/W4243434314	Editorial Note	0
https://openalex.org/W4200347694	Anahid Nersessian. <i>The Calamity Form: On Poetry and Social Life</i>. Chicago: University of Chicago Press, 2020. 240 pp.	0
https://openalex.org/W2080920582	The Uncompleted Argument: Du Bois and the Illusion of Race	1
https://openalex.org/W3152128037	Religious Reason and Secular Affect: An Incommensurable Divide?	0
https://openalex.org/W4237299984	Volume Information	0
https://openalex.org/W2088507541	Quentin's Bogey	0
https://openalex.org/W4308984679	Reading Anew	3
https://openalex.org/W2074964185	The No-Man's Land of Competing Patterns	0
https://openalex.org/W4246579128	Back Matter	0
https://openalex.org/W4235791488		0
https://openalex.org/W2009421930	Profession Despise Thyself: Fear and Self-Loathing in Literary Studies	5
