work_key	title	year	author_names	subject_keys	edition_count	judgment	note
/works/OL4882455W	The Prodigal Judge	1911	Vaughan Kester	fiction	20		
/works/OL59377W	So Worthy My Love	1950	Kathleen E. Woodiwiss	bodice_ripper|collectionidmbodice_ripper|fiction|fiction_general|fiction_romance_historical_general|historical_romance|kidnapping|love_stories|medieval_romance|romance	12		
/works/OL472043W	The mysterious Mr Quin	1930	Agatha Christie	england_fiction|english_detective_and_mystery_stories|english_literature|fiction|fiction_mystery__detective_collections__anthologies|fiction_mystery__detective_short_stories|fiction_mystery__detective_traditional|investigation|large_type_books|murder|mystery|paranormal_fiction|roman_policier_anglais|vingtième_siècle	70		
/works/OL789891W	I havsbandet	1890	August Strindberg	continental_european_drama_(dramatic_works_by_one_author)|fiction|islands|swedish_fiction|translations_into_english	18		
/works/OL276409W	The ivory tower	1900	Henry James	american_fiction_(fictional_works_by_one_author)|capitalists_and_financiers|fiction|inheritance_and_succession|rich_people|young_adults	18		
/works/OL4885692W	The golden slipper and other problems for Violet Strange	1915	Anna Katharine Green	detective_and_mystery_stories|nouvelles|short_stories	25		
/works/OL3590597W	Strange Brother	1931	Blair Niles	artists|fiction|fiction_lesbian|fiction_lgbtq_lesbian|gay_artists|gay_men|interpersonal_relations|lesbians|lgbtq_fiction_before_stonewall|queer_pulps|united_states_fiction	6		
/works/OL1201302W	The wind on the moon	1944	Eric Linklater	children's_fiction|children's_stories|falcons_fiction|fantasy|fiction|juvenile_fiction|kangaroos_fiction|magic|moon_fiction|prisoners|puma_fiction|secret_service|sisters|sisters_fiction|witches_fiction	11		
/works/OL2345563W	In ole Virginia	1887	Thomas Nelson Page	african_americans|biographies_amp_autobiographies|fiction|fiction_historical_general|fiction_short_stories_(single_author)|people_of_color|social_life_and_customs|southern_states_fiction|united_states_--_social_life_and_customs_--_19th_century_--_fiction|virginia_--_fiction|virginia_fiction	22		
/works/OL3468645W	Penelope's Irish experiences	1901	Kate Douglas Smith Wiggin	classic_literature|fiction|romans_nouvelles|social_life_and_customs	13		
/works/OL748479W	Maitreyi nunta în cer	1950	Mircea Eliade|Joan Fontana Tous|Joan Fontana Tous	autobiographical_fiction|continental_european_fiction_(fictional_works_by_one_author)|ficción|fiction	21		
/works/OL181954W	The gentle grafter	1908	O. Henry	american_fiction_(fictional_works_by_one_author)|classic_literature|fiction|smoking_in_art|swindlers_and_swindling|tobacco_in_fiction	50		
/works/OL10461321W	The water gypsies	1930	Alan Patrick Herbert	canals|fiction|fiction_general|fiction_in_english|london_(england)_fiction	16		
/works/OL54078W	Is Shakespeare Dead?	1909	Mark Twain	authorship|bacon-shakespeare_controversy|baconian_theory|biography|classic_literature|english_literature|fiction|shakespeare_william_1564-1616	23		
/works/OL14861318W	The captive and the free	1940	Joyce Cary	british_and_irish_fiction_(fictional_works_by_one_author)|evangelists|fiction|social_life_and_customs	17		
/works/OL462042W	Sentimental Tommy (The Works of J.M. Barrie, Vol 5)	1896	J. M. Barrie	authors|british_and_irish_fiction_(fictional_works_by_one_author)|brothers_and_sisters|conduct_of_life|diligence|fiction|imagination|juvenile_fiction|poor|scottish_authors|scottish_fiction|success|youth	62		
