work_id	oclc	htid	recordid	locnum	author	imprint	date	place	enumcron	subjects	title	prob80precise	genrepages	totalpages	englishpct	datetype	startdate	enddate	imprintdate
OL1105155W	2099670	mdp.39015008145461	1213669	PZ3.M544C5PQ2362.C3E5 1896	Mérimée, Prosper,	Boston;Little, Brown;1896.	1896	mau			Carmen	0.87	161	182	0.997	s	1896.0	    	1896
OL1109044W	976869	uc1.b3293434	7927938		Holmes, Oliver Wendell,	Boston;Jefferson Press;1891?	1891	mau	v.3		"The ""Breakfast-table"" series"	0.61	202	365	1.0	s	1891.0	    	1891
OL1109044W	976869	uc1.b3293435	7927938		Holmes, Oliver Wendell,	Boston;Jefferson Press;1891?	1891	mau	v.4		"The ""Breakfast-table"" series"	0.54	158	335	1.0	s	1891.0	    	1891
OL1109044W	976869	uva.x001850702	7927938		Holmes, Oliver Wendell,	Boston;Jefferson Press;1891?	1891	mau	v.2		"The ""Breakfast-table"" series"	0.55	164	334	1.0	s	1891.0	    	1891
OL1109044W	275615	mdp.39015024470943	248785	PS1968.A1 1891	Holmes, Oliver Wendell,	Boston;New York;Houghton, Mifflin and company;1891.	1891	mau			Over the teacups	0.88	306	330	1.0	s	1891.0	    	1891
OL1109044W	275615	mdp.39015030745312	248785	PS1968.A1 1891	Holmes, Oliver Wendell,	Boston;New York;Houghton, Mifflin and company;1891.	1891	mau			Over the teacups	0.89	310	330	1.0	s	1891.0	    	1891
OL1109044W	275615	mdp.39015063931441	248785	PS1968.A1 1891	Holmes, Oliver Wendell,	Boston;New York;Houghton, Mifflin and company;1891.	1891	mau			Over the teacups	0.88	309	334	1.0	s	1891.0	    	1891
OL1109044W	275615	uc1.b156079	248785	PS1968.A1 1891	Holmes, Oliver Wendell,	Boston;New York;Houghton, Mifflin and company;1891.	1891	mau			Over the teacups	0.88	311	336	1.0	s	1891.0	    	1891
OL1112728W	6479510	njp.32101065599001	9403710	PZ3.W5862Cl	White, William Hale,	New York;Dodd, Mead and company;1896.	1896	nyu			Clara Hopgood	0.89	268	280	1.0	s	1896.0	    	1896
OL1112728W	3097195	uc2.ark+=13960=t4xg9tm3z	7704899		Rutherford, Mark,	London;T. F. Unwin;1896.	1896	enk			Clara Hopgood	0.89	301	312	0.999	s	1896.0	    	1896
OL1113796W	9262464	uva.x004529780	9789926		Mitchell, S. Weir	New York;Century;1909, c1897.	1897	nyu	v.8	History;United States;Revolution, 1775-1783;Fiction	Hugh Wynne, free Quaker	0.88	570	618	1.0	t	1909.0	1897	1909
OL1113796W	1744052	mdp.39015030709680	670316	PZ3.M695Hu8	Mitchell, S. Weir	New York;The Century co.;1900.	1900	nyu		History;United States;Revolution, 1775-1783;Fiction	Hugh Wynne, free Quaker	0.9	591	610	1.0	s	1900.0	    	1900
OL1113796W	2130213	uc1.32106015697896	7127485		Mitchell, S. Weir	New York;Century;1899.	1899	   	v.1	History;United States;Quakers;Fiction;Revolution, 1775-1783	Hugh Wynne, Free Quaker	0.82	359	394	1.0	s	1899.0	    	1899
OL1113796W	2130213	uc1.32106019583837	7127485		Mitchell, S. Weir	New York;Century;1899.	1899	   	v.2	History;United States;Quakers;Fiction;Revolution, 1775-1783	Hugh Wynne, Free Quaker	0.76	292	362	0.999	s	1899.0	    	1899
OL1113796W	2130213	uc1.b3327353	7127485		Mitchell, S. Weir	New York;Century;1899.	1899	   	v. 1	History;United States;Quakers;Fiction;Revolution, 1775-1783	Hugh Wynne, Free Quaker	0.82	364	406	1.0	s	1899.0	    	1899
OL1113796W	2130213	uc1.b3327354	7127485		Mitchell, S. Weir	New York;Century;1899.	1899	   	v. 2	History;United States;Quakers;Fiction;Revolution, 1775-1783	Hugh Wynne, Free Quaker	0.81	309	352	0.999	s	1899.0	    	1899
OL1118216W	1628664	uc2.ark+=13960=t4pk0d46m	6092022	PZ3.V48U2	Vazov, Ivan Minchov,	London;W. Heinemann;1912.	1912	enk		History;Fiction;Bulgaria	Under the yoke;	0.88	301	330	1.0	s	1912.0	    	1912
OL112788W	21847193	mdp.39015066920219	1027132	PZ3.C4235C6	Chesnutt, Charles W.	New York;Doubleday, Page & company;1905.	1905	nyu			The colonel's dream	0.82	290	314	1.0	s	1905.0	    	1905
OL112788W	3998085	nc01.ark+=13960=t50g4wj3w	12192364	PZ3.C4253Cl	Chesnutt, Charles W.	New York;Doubleday, Page & Company;1905.	1905	nyu		Economic conditions;Southern States;United States;Social conditions;North Carolina;African Americans;Race relations;Fiction	The colonel's dream	0.89	291	310	1.0	s	1905.0	    	1905
OL1127988W	3460642	uc2.ark+=13960=t3610wt9p	7661814		Harte, Bret,	Boston;Houghton, Mifflin;c1912.	1912	mau			In the Carquinez woods	0.84	476	502	1.0	s	1912.0	    	1912
OL1127988W	12084876	nyp.33433076071475	6502891	PS1829.I55 1883	Harte, Bret,	London;Longmans, Green, and Co.;1883.	1883	enk			In the Carquinez woods	0.87	248	282	1.0	s	1883.0	    	1883
OL1127988W	12084876	uc1.b251155	6502891	PS1829.I55 1883	Harte, Bret,	London;Longmans, Green, and Co.;1883.	1883	enk			In the Carquinez woods	0.89	250	262	1.0	s	1883.0	    	1883
OL1128005W	1817762	uc2.ark+=13960=t03x84h2d	1027392	PZ3.H252Op8PS1829	Harte, Bret,	Boston;Houghton-Mifflin;1902.	1902	mau			Openings in the old trail	0.88	332	362	0.998	s	1902.0	    	1902
OL1128009W	16575241	uc2.ark+=13960=t0000076t	7661811		Harte, Bret,	Cambridge;Houghton;c1887.	1887	enk			The crusade of the Excelsior	0.83	250	266	1.0	s	1887.0	    	1887
OL1128009W	4988620	uc2.ark+=13960=t2c825194	9260400		Harte, Bret,	London;F. V. White;1888	1888	enk			"The crusade of the ""Excelsior"""	0.83	292	312	1.0	q	1888.0	    	1888
OL1128010W	2861829	mdp.39015030141470	1692741	PS1829.P5 1888	Harte, Bret,	Boston;New York;Houghton, Mifflin;1888.	1888	mau			A Phyllis of the Sierras ; and, A drift from Redwood camp	0.89	214	228	0.999	s	1888.0	    	1888
OL1128010W	14414841	uc2.ark+=13960=t6833nv7j	9262024		Harte, Bret,	London;Chatto & Windus;1888.	1888	enk			A Phyllis of the Sierras	0.85	241	290	1.0	r	1888.0	    	1888
OL1128013W	2959509	uc2.ark+=13960=t1ng4h41s	7661100	PS1829.M3 1885a	Harte, Bret,	Boston;Houghton, Mifflin;1885.	1885	mau			Maruja	0.89	270	286	1.0	s	1885.0	    	1885
OL1128014W	308210	uc2.ark+=13960=t6tx35v32	1027391	PZ3.H252O	Harte, Bret,	Boston;New York;Houghton, Mifflin and Company;1884.	1884	mau			On the frontier	0.89	286	300	1.0	s	1884.0	    	1884
OL1128014W	308210	uva.x000990761	1027391	PZ3.H252O	Harte, Bret,	Boston;New York;Houghton, Mifflin and Company;1884.	1884	mau			On the frontier	0.89	284	296	1.0	s	1884.0	    	1884
