work_key	edition_count	ocaid_count	ocaid_first
/works/OL137396W	182	7	circularstaircas0000rine
/works/OL6438827W	181	4	lamaisonsansclef0000bigg
/works/OL52262W	181	13	historyofmrpolly0000hgwe_x3k5
/works/OL4634859W	181	2	mirrorofkongho00bram
/works/OL1794917W	180	25	octopusstoryofca0000norr_l2l0
/works/OL23791139W	180	12	bwb_S0-BHU-961
/works/OL8127244W	180	4	greenmouse0000cham
/works/OL1455042W	180	45	heidi0000saun
/works/OL83881W	179	5	fiftyonetales00dunsuoft
/works/OL253728W	179	6	ghoststoriesana00jamegoog
/works/OL485406W	179	11	bettyzane00greyrich
/works/OL1517879W	177	6	fourjustmen00wall
/works/OL1418112W	177	8	tarzanuntamed0000edga
/works/OL17487W	177	2	allanicegodstale0000hagg
/works/OL7920612W	177	9	findingtimeagain0000prou
/works/OL15428W	176	6	lightprincess0000macd
/works/OL30457295W	176	15	demianstoryofemi00hess
/works/OL20161W	176	17	rewardsfairies0000kipl_c2q0
/works/OL35093658W	176	18	xiaomaoluyuwoand0000jime
/works/OL77754W	176	14	furtherchronicle0000lmmo
/works/OL24161W	175	30	blackarrowwaterm00robe
/works/OL76582W	175	5	powerhouse00buch
/works/OL1066517W	175	13	majorbarbara000shaw
/works/OL20162W	174	18	dayswokipl00kipl
/works/OL1797752W	174	1	paradisemystery00fletgoog
/works/OL54898W	174	14	aliceadams00tarkuoft
/works/OL14877882W	174	20	salome0000unse_z7t4
/works/OL44912W	174	35	thomashardyselec0000hard_b8j8
/works/OL461993W	172	12	littlewhitebirdo00barr_0
/works/OL767580W	172	16	illustratedzulei00beer
/works/OL43659W	172	30	mariusepicureanh0000pate
/works/OL76589W	171	1	bwb_KU-410-527
/works/OL1517919W	171	1	zimmerdreizehngo00wall
/works/OL23316229W	171	1	titusandronicus0000unse
/works/OL1798851W	171	7	mrjusticeraffle00horngoog
/works/OL647133W	170	5	queenlucia00bensgoog
/works/OL109236W	170	22	oldwivestale00benn_0
/works/OL1140109W	170	25	pearlsbucksgoode0000rode_d1l0
/works/OL274433W	168	35	velveteenrabbit0000bian_w9h6
/works/OL17524W	168	7	cihm_76888
/works/OL144822W	168	22	martineden0000lond_y9h7
/works/OL5114588W	167	10	whatkatydidnext0000cool_z1u4
/works/OL1794662W	167	5	catofbubastestal00hent
/works/OL17497W	167	5	bwb_T3-CBR-301
/works/OL879088W	166	23	forsytesagaincha0000gals
/works/OL76470W	166	5	TheBallAndTheCross
/works/OL498434W	166	21	bwb_KP-883-771
/works/OL2288681W	165	3	goldenscorpion00rohm
