work_key	work_title	work_author	total_candidates	sampling_method	sampling_seed	sampled_n	include_substantive_n	include_mention_n	broad_visibility_include_n	exclude_non_scholarly_n	exclude_unrelated_n	unclear_n	error_n	broad_visibility_rate_among_decided	model	prompt_version	included_n	decided_n	scholarly_rate	estimated_scholarly_count	raw_rank	semantic_rank	rank_shift	abs_rank_shift
/works/OL509919W	Parade's End	Ford Madox Ford	102	uniform_reservoir_sampling	20260713	40	18	5	23	15	1	1	0	0.59	gpt-5-mini	literary_visibility_v4_final_20260818	23	39	0.5897435897435898	60.15384615384615	90.0	89.0	-1.0	1.0
/works/OL872903W	Peter Camenzind	Hermann Hesse	36	uniform_reservoir_sampling	20260713	36	22	3	25	8	0	3	0	0.758	gpt-5-mini	literary_visibility_v4_final_20260818	25	33	0.7575757575757576	27.272727272727277	129.0	118.0	-11.0	11.0
/works/OL462007W	Peter Pan	J. M. Barrie	241	uniform_reservoir_sampling	20260713	40	24	0	24	13	1	2	0	0.632	gpt-5-mini	literary_visibility_v4_final_20260818	24	38	0.631578947368421	152.21052631578945	61.0	62.0	1.0	1.0
/works/OL44675271W	Pride and prejudice	Austen, Jane	1029	uniform_reservoir_sampling	20260713	40	25	2	27	8	3	2	0	0.711	gpt-5-mini	literary_visibility_v4_final_20260818	27	38	0.7105263157894737	731.1315789473684	10.0	11.0	1.0	1.0
/works/OL17996804W	Quo vadis?	Henryk Sienkiewicz	53	uniform_reservoir_sampling	20260713	40	21	5	26	11	2	1	0	0.667	gpt-5-mini	literary_visibility_v4_final_20260818	26	39	0.6666666666666666	35.33333333333333	117.0	108.0	-9.0	9.0
/works/OL42430849W	Red Badge of Courage	Stephen Crane	153	uniform_reservoir_sampling	20260713	40	28	0	28	8	0	4	0	0.778	gpt-5-mini	literary_visibility_v4_final_20260818	28	36	0.7777777777777778	119.0	78.5	71.0	-7.5	7.5
/works/OL29252913W	Rip Van Winkle	Irving, Washington	100	uniform_reservoir_sampling	20260713	40	24	4	28	7	4	1	0	0.718	gpt-5-mini	literary_visibility_v4_final_20260818	28	39	0.717948717948718	71.7948717948718	92.0	84.0	-8.0	8.0
/works/OL32099881W	Robinson Crusoe	Daniel De Foe	86	uniform_reservoir_sampling	20260713	40	28	4	32	8	0	0	0	0.8	gpt-5-mini	literary_visibility_v4_final_20260818	32	40	0.8	68.8	97.0	85.0	-12.0	12.0
/works/OL16574029W	Robinson Crusoe	Daniel Defoe	664	uniform_reservoir_sampling	20260713	40	24	3	27	9	1	3	0	0.73	gpt-5-mini	literary_visibility_v4_final_20260818	27	37	0.7297297297297297	484.5405405405405	21.0	19.0	-2.0	2.0
/works/OL82925W	Sanctuary	William Faulkner	135	uniform_reservoir_sampling	20260713	40	25	2	27	7	2	4	0	0.75	gpt-5-mini	literary_visibility_v4_final_20260818	27	36	0.75	101.25	82.0	75.0	-7.0	7.0
