oa_id	title	year	ref_count	referenced_work_ids
W1968879784	"""Preserving the Exemplar"": Or, How Not to Dig Our Own Graves"	1977	0	
W4255073766	Elaine Scarry. <i>Naming Thy Name: Cross Talk in Shakespeare’s Sonnets</i>. New York: Ferrar, Straus, and Giroux, 2016. 304 pp.	2018	0	
W3147884175	The Conflicts of the Faculty	2009	0	
W4250473689	Editorial Note	1994	0	
W2428787902	“Matter No More”: Edgar Allan Poe and the Paradoxes of Materialism	2016	48	W582037561|W595726247|W657363873|W1540809287|W1558759541|W1660251293|W1837618745|W1846954917|W1974026955|W1990670813|W1992971607|W2022015083|W2038054492|W2047320683|W2047456136|W2066122608|W2075569058|W2081244043|W2083151541|W2116153113|W2165213800|W2170752125|W2202461469|W2318955917|W2324158579|W2331359648|W2432241196|W2503555344|W2506974588|W2797372901|W2804332225|W2938045363|W2964448742|W4210550701|W4210768843|W4213382759|W4231874259|W4232023365|W4234925861|W4235061890|W4239696031|W4244727960|W4245618545|W4254402285|W4254809231|W4300515377|W4300924504|W4319588085
W2011968049	Agamben, the Thought of <i>Sterēsis</i>: An Introduction to Two Essays	2014	0	
W4253176456	Hic Jacet	2001	0	
W4237261756	Volume Information	1986	0	
W4231216371	Adultery	1998	0	
W2912076587	Stephen Sheehi. <i>The Arab Imago: A Social History of Portrait Photography, 1860–1910</i>. Princeton, N.J.: Princeton University Press, 2016. 264 pp.	2019	0	
W4241372991		2009	0	
W2036615555	Descartes's Geometry as Spiritual Exercise	2001	0	
W2083761529	Nancy Reagan Wears a Hat: Feminism and Its Cultural Consensus	1988	0	
W1608208201	"""The Blank Page"" and the Issues of Female Creativity"	1981	0	
W2892200499	Beyond Shooting and Eating:<i>Passage, Dys4ia</i>, and the Meanings of Collision	2018	10	W165164601|W1412617300|W1603545804|W2099305423|W2100481139|W2137839273|W2572395598|W4247027060|W4252546272|W6836727690
W1973867302	Charlie Chaplin and His Shadows: On Laws of Fortuity in Art	2014	3	W2485755561|W3129178018|W6602264562
W2048281907	<i>Critical Response</i><i>II</i>The Name of Science, the Name of Politics	2003	0	
W1983072856	Deconstruction and Communication	1988	0	
