work_key	title	author_name	first_publish_year	canonical	scope_flag	jstor_count	oa_count	edition_count	htid_count	pd_count	gr_ratings	gr_reviews	ratings_5	ratings_4	ratings_3	ratings_2	ratings_1	gr_match	log_jstor	log_oa	log_edition	log_htid	log_gr	wikidata_qid	sitelink_count
/works/OL32094618W	A pleasure book for our darlings	John	1882	0	in_scope	0	0	1	0	0	0	0	0	0	0	0	0	NO_MATCH_AUTH	0.0	0.0	0.301	0.0	0.0		0
/works/OL32096254W	Favourite tales for the nursery		1890	0	in_scope	0	1	1	0	0	2756	189	808	1000	727	171	50	RATINGS_MAX	0.0	0.301	0.301	0.0	3.4404		0
/works/OL32096272W	Mr. Lipscombe's apples	Julia Goddard	1891	0	in_scope	0	0	1	0	0	0	0	0	0	0	0	0	NO_MATCH	0.0	0.0	0.301	0.0	0.0		0
/works/OL32098078W	The children's band, or, The trial of Paul's faith	Isabel Plunket	1890	0	in_scope	0	0	1	0	0	10	1	6	1	2	1	0	YEAR_AUTH	0.0	0.0	0.301	0.0	1.0414		0
/works/OL32146508W	The voice	Margaret Deland	1912	0	in_scope	0	0	1	2	1	0	0	0	0	0	0	0	NO_MATCH_AUTH	0.0	0.0	0.301	0.4771	0.0		0
/works/OL32629549W	Helbeck of Bannisdale	Ward, Humphry	1898	0	in_scope	0	2	1	4	4	21	6	4	9	8	0	0	UNIQUE	0.0	0.4771	0.301	0.699	1.3424		0
/works/OL32849888W	After bread	Henryk Sienkiewicz	1897	0	in_scope	0	0	2	3	3	0	0	0	0	0	0	0	NO_MATCH_AUTH	0.0	0.0	0.4771	0.6021	0.0		0
/works/OL32873326W	Young Hopeful's schooldays, or, The secret of the seventh oak		1894	0	in_scope	0	0	1	0	0	0	0	0	0	0	0	0	NO_MATCH	0.0	0.0	0.301	0.0	0.0		0
/works/OL33119429W	Blindness	Green, Henry	1926	0	in_scope	40	5	1	0	0	158	21	27	46	67	16	2	YEAR_AUTH	1.6128	0.7782	0.301	0.0	2.2014		0
/works/OL33121077W	A moment of time	Richard Hughes	1926	0	in_scope	0	1	1	1	1	91	1	22	33	30	6	0	RATINGS_MAX	0.0	0.301	0.301	0.301	1.9638		0
/works/OL33313504W	The moon conquerors	R. H. Romans	1920	0	in_scope	0	0	1	0	0	0	0	0	0	0	0	0	NO_MATCH	0.0	0.0	0.301	0.0	0.0		0
/works/OL3469691W	Women writers	B. G. MacCarthy	1946	0	in_scope	1	2	2	2	0	33	6	17	12	4	0	0	RATINGS_MAX	0.301	0.4771	0.4771	0.4771	1.5315		0
/works/OL3626132W	Bread	Charles Gilman Norris	1923	0	in_scope	1	0	1	1	1	0	0	0	0	0	0	0	NO_MATCH_AUTH	0.301	0.0	0.301	0.301	0.0		0
/works/OL36966939W	A poor man's house	Stephen Reynolds	1910	0	in_scope	0	0	2	1	1	0	0	0	0	0	0	0	NO_MATCH_AUTH	0.0	0.0	0.4771	0.301	0.0		0
/works/OL39425320W	Sylvia's travels	Constance Smedley	1911	0	in_scope	0	0	1	0	0	0	0	0	0	0	0	0	NO_MATCH	0.0	0.0	0.301	0.0	0.0		0
/works/OL39500589W	Beverly Gray's challenge	Clair Blank	1945	0	in_scope	0	0	1	0	0	21	2	6	7	8	0	0	RATINGS_MAX	0.0	0.0	0.301	0.0	1.3424		0
/works/OL3979509W	The vicar's daughter	Young, E. H.	1928	0	in_scope	0	1	4	2	0	0	0	0	0	0	0	0	NO_MATCH_AUTH	0.0	0.301	0.699	0.4771	0.0		0
/works/OL4031984W	The fortnight in September	R. C. Sherriff	1931	0	in_scope	0	2	6	2	0	319	64	140	107	61	9	2	UNIQUE	0.0	0.4771	0.8451	0.4771	2.5051		0
/works/OL4104751W	Seven Footprints to Satan	Abraham Merritt	1928	0	in_scope	0	0	75	1	1	186	27	35	75	59	12	5	UNIQUE	0.0	0.0	1.8808	0.301	2.2718		0
/works/OL42910541W	Polly's pension plans	Marian Lawrence Peabody	1917	0	in_scope	0	0	1	1	1	0	0	0	0	0	0	0	NO_MATCH_AUTH	0.0	0.0	0.301	0.301	0.0		0
/works/OL42924482W	The talisman	Scott, Walter	1885	0	in_scope	2	23	2	23	18	1643	103	473	600	455	83	32	YEAR_AUTH	0.4771	1.3802	0.4771	1.3802	3.2159		0
/works/OL42968384W	Friendly ocean	George Borodin	1946	0	in_scope	0	0	1	1	0	0	0	0	0	0	0	0	NO_MATCH_AUTH	0.0	0.0	0.301	0.301	0.0		0
/works/OL4318055W	The mighty hunter	Berta Hader	1943	0	in_scope	0	1	3	1	0	42	15	2	7	17	14	2	UNIQUE	0.0	0.301	0.6021	0.301	1.6335	Q65066453	1
/works/OL43423236W	Dhidgerry Dhoo!	Owen E. Griffiths	1943	0	in_scope	0	0	1	0	0	0	0	0	0	0	0	0	NO_MATCH	0.0	0.0	0.301	0.0	0.0		0
/works/OL43433833W	The black arrow	Robert Louis Stevenson	1908	0	in_scope	1	9	1	1	1	13965	421	3755	5074	4073	868	195	RATINGS_MAX	0.301	1.0	0.301	0.301	4.1451		0
/works/OL43487171W	Quentin Durward	Scott, Walter	1894	0	in_scope	2	29	1	2	2	926	33	244	310	292	69	11	UNIQUE	0.4771	1.4771	0.301	0.4771	2.9671		0
/works/OL43627051W	The woman in black	Zenith Jones Brown	1947	0	in_scope	0	0	1	1	0	0	0	0	0	0	0	0	NO_MATCH_AUTH	0.0	0.0	0.301	0.301	0.0		0
/works/OL43643983W	Hone tiki dialogues	Alfred A. Grace	1910	0	in_scope	0	0	1	1	1	0	0	0	0	0	0	0	NO_MATCH	0.0	0.0	0.301	0.301	0.0		0
/works/OL4416369W	Get a horse	Bellamy Partridge	1937	0	in_scope	0	0	1	1	0	0	0	0	0	0	0	0	NO_MATCH	0.0	0.0	0.301	0.301	0.0		0
/works/OL4429446W	Harbor tales down north	Norman Duncan	1918	0	in_scope	0	0	3	1	1	0	0	0	0	0	0	0	NO_MATCH	0.0	0.0	0.6021	0.301	0.0		0
/works/OL44408764W	The green light	Louise Landon	1931	0	in_scope	0	0	1	2	2	0	0	0	0	0	0	0	NO_MATCH_AUTH	0.0	0.0	0.301	0.4771	0.0		0
/works/OL4468874W	Marching! Marching!	Clara Weatherwax	1935	0	in_scope	0	0	3	1	1	0	0	0	0	0	0	0	NO_MATCH_AUTH	0.0	0.0	0.6021	0.301	0.0		0
/works/OL44944397W	The perfect leaf	Frank A. Fortescue	1930	0	in_scope	0	0	1	0	0	0	0	0	0	0	0	0	NO_MATCH	0.0	0.0	0.301	0.0	0.0		0
/works/OL44967940W	A Japanese maiden	Annie M. Piercy	1900	0	in_scope	0	0	1	0	0	12	3	2	4	4	1	1	RATINGS_MAX	0.0	0.0	0.301	0.0	1.1139		0
/works/OL4528060W	Seabird	Holling Clancy Holling	1948	0	in_scope	0	0	8	0	0	1676	45	631	513	371	122	39	YEAR_AUTH	0.0	0.0	0.9542	0.0	3.2245		0
/works/OL45611W	Selections	Henry Fielding	1923	0	in_scope	0	1	4	2	1	23	2	6	9	6	2	0	RATINGS_MAX	0.0	0.301	0.699	0.4771	1.3802		0
/works/OL4677749W	Life of Tom Horn	Tom Horn	1904	0	in_scope	2	1	12	5	5	263	13	100	105	44	13	1	UNIQUE	0.4771	0.301	1.1139	0.7782	2.4216		0
/works/OL472742W	The Rose and the Yew Tree	Agatha Christie	1948	0	in_scope	0	2	32	0	0	799	68	210	217	241	100	31	UNIQUE	0.0	0.4771	1.5185	0.0	2.9031		0
/works/OL5362130W	The earth is the Lord's	Taylor Caldwell	1940	0	in_scope	0	0	18	1	0	242	18	77	89	57	16	3	YEAR_AUTH	0.0	0.0	1.2788	0.301	2.3856		0
/works/OL5509338W	Fall Over Cliff	Bell, Josephine	1938	0	in_scope	0	0	2	0	0	0	0	0	0	0	0	0	NO_MATCH	0.0	0.0	0.4771	0.0	0.0		0
/works/OL5886802W	Who's to blame?	Henry Fauntleroy	1883	0	in_scope	0	0	1	1	1	0	0	0	0	0	0	0	NO_MATCH_AUTH	0.0	0.0	0.301	0.301	0.0		0
/works/OL60454W	Ever after	Phyllis A. Whitney	1948	0	in_scope	0	0	5	0	0	0	0	0	0	0	0	0	NO_MATCH_AUTH	0.0	0.0	0.7782	0.0	0.0		0
/works/OL6522777W	... Letters from the country and the town	Alciphron	1923	0	in_scope	0	0	1	1	1	0	0	0	0	0	0	0	NO_MATCH_AUTH	0.0	0.0	0.301	0.301	0.0		0
/works/OL6601321W	Summer stranger	Louise Field Cooper	1947	0	in_scope	0	0	1	2	0	0	0	0	0	0	0	0	NO_MATCH	0.0	0.0	0.301	0.4771	0.0		0
/works/OL6605492W	Dave Dawson at Casablanca	Robert Sidney Bowen	1944	0	in_scope	0	0	1	0	0	0	0	0	0	0	0	0	NO_MATCH	0.0	0.0	0.301	0.0	0.0		0
/works/OL67238W	The country of the pointed firs	Sarah Orne Jewett	1896	0	in_scope	13	3	60	1	0	2121	261	605	708	543	186	79	UNIQUE	1.1461	0.6021	1.7853	0.301	3.3267	Q7727811	3
/works/OL6832121W	The  hourglass	David Alman	1947	0	in_scope	0	0	1	1	1	0	0	0	0	0	0	0	NO_MATCH_AUTH	0.0	0.0	0.301	0.301	0.0		0
/works/OL6854317W	Shanghai honeymoon	Dekobra, Maurice	1946	0	in_scope	0	0	1	1	1	0	0	0	0	0	0	0	NO_MATCH	0.0	0.0	0.301	0.301	0.0		0
/works/OL69150W	Criticism and fiction	William Dean Howells	1891	0	in_scope	2	1	51	1	0	11	1	3	4	3	1	0	YEAR_AUTH	0.4771	0.301	1.716	0.301	1.0792		0
/works/OL7017858W	Red sepulchre, a story of adventure behind the Iron Curtain	Peter Simonds	1947	0	in_scope	0	1	1	0	0	0	0	0	0	0	0	0	NO_MATCH	0.0	0.301	0.301	0.0	0.0		0
/works/OL7025888W	Progressive readings in prose	Rudolph W. Chamberlain	1923	0	in_scope	0	1	1	1	1	0	0	0	0	0	0	0	NO_MATCH_AUTH	0.0	0.301	0.301	0.301	0.0		0
/works/OL7150451W	Out of the Flame	Eloise Lownsbery	1931	0	in_scope	0	0	2	1	0	13	8	1	3	6	3	0	UNIQUE	0.0	0.0	0.4771	0.301	1.1461		0
/works/OL724067W	The death of the heart	Elizabeth Bowen	1938	0	in_scope	2	0	28	4	0	5139	353	1375	1698	1410	474	182	UNIQUE	0.4771	0.0	1.4624	0.699	3.711		0
/works/OL7411603W	Senorita from Chicago	Vida Hurst	1941	0	in_scope	0	0	1	0	0	0	0	0	0	0	0	0	NO_MATCH	0.0	0.0	0.301	0.0	0.0		0
/works/OL7424493W	Southbound ..	Anderson, Barbara Tunnell	1949	0	in_scope	0	1	1	1	0	0	0	0	0	0	0	0	NO_MATCH_AUTH	0.0	0.301	0.301	0.301	0.0		0
/works/OL7424544W	Wheels in the timber	Evelyn Voss Wise	1941	0	in_scope	0	0	1	1	1	30	3	11	9	7	1	2	UNIQUE	0.0	0.0	0.301	0.301	1.4914		0
/works/OL7427609W	Not with eyes only	Carver, George	1948	0	in_scope	0	0	1	0	0	0	0	0	0	0	0	0	NO_MATCH	0.0	0.0	0.301	0.0	0.0		0
/works/OL7439933W	The story of Joseph	Josephine Sanger Lau	1950	0	in_scope	0	0	1	0	0	36	8	16	11	5	2	2	RATINGS_MAX	0.0	0.0	0.301	0.0	1.5682		0
/works/OL7441102W	Keep cool, Mr. Jones	Fuller, Timothy	1950	0	in_scope	0	0	1	0	0	5	3	1	0	3	1	0	UNIQUE	0.0	0.0	0.301	0.0	0.7782		0
/works/OL7539581W	Door nails never die	Anthony Wynne	1939	0	in_scope	0	0	1	0	0	0	0	0	0	0	0	0	NO_MATCH	0.0	0.0	0.301	0.0	0.0		0
/works/OL75405W	That stick	Yonge, Charlotte Mary	1892	0	in_scope	0	0	2	2	2	0	0	0	0	0	0	0	NO_MATCH	0.0	0.0	0.4771	0.4771	0.0		0
/works/OL7541910W	Peggy and the pup	Helen Sewell	1941	0	in_scope	0	0	1	0	0	0	0	0	0	0	0	0	NO_MATCH_AUTH	0.0	0.0	0.301	0.0	0.0		0
