work_key	title	author_name	canonical	test_reason	oa_title_author_count	sampled_n
/works/OL38733821W	Daniel Deronda	George Eliot	0	top_F	320	40
/works/OL3335290W	Nine Stories	J. D. Salinger	0	top_C	21	21
/works/OL262591W	The Refugees	Doyle, Arthur Conan	0	top_C	0	0
/works/OL503565W	Paz en la guerra	Miguel de Unamuno	0	top_C	27	27
/works/OL1140289W	The promise	Pearl S. Buck	0	top_B	28	28
/works/OL81293W	The Rainbow	Lawrence, D. H.	0	top_A	286	40
/works/OL81599W	The talisman	King, Stephen	0	top_C	13	13
/works/OL39081W	The rescue	Conrad, Joseph	0	known_noise_case	30	30
/works/OL5721561W	Vile Bodies	Evelyn Waugh	0	top_C	24	24
/works/OL118969W	L' argent	Emile Zola	0	top_A	41	40
/works/OL23199W	Cannery Row	John Steinbeck	0	top_C	70	40
/works/OL14867080W	Doctor Faustus	Thomas Mann	0	top_F	112	40
/works/OL44047506W	Moby-Dick; or, The whale	Herman Melville	0	top_F	40	40
/works/OL275128W	Native Son	Wright, Richard	0	top_A	307	40
/works/OL1672346W	Stone soup	Marcia Brown	0	top_C	4	4
/works/OL482892W	The Ides of March	Thornton Wilder	0	top_C	11	11
/works/OL106084W	The power and the Glory	Greene, Graham	0	top_C	70	40
/works/OL532440W	The watchers	Mason, A. E. W.	0	top_C	0	0
/works/OL5721394W	Brideshead Revisited	Evelyn Waugh	0	top_C	73	40
/works/OL52246W	The Shape of Things to Come	H. G. Wells	0	top_C	16	16
/works/OL5287344W	Coming home	Lester Cohen	0	top_F	2	2
/works/OL34726252W	Jane Eyre	Brontë, Charlotte	0	top_B	1007	40
/works/OL6700573W	Living Alone	Stella Benson	0	top_C	4	4
/works/OL32099881W	Robinson Crusoe	Daniel De Foe	0	top_F	86	40
/works/OL18226531W	Sir Gawain and the Green Knight	Gollancz, Israel	0	top_B	3	3
/works/OL17638106W	Sir Gawain and the Green knight	S. O. Andrew	0	top_B	17	17
/works/OL7792086W	The border : a Missouri saga	Dagmar Doneghy	0	top_B	0	0
/works/OL4092658W	The Foundling	Georgette Heyer	0	top_C	1	1
/works/OL104609W	Wolf Solent	J. S. Powys	0	top_C	8	8
/works/OL82911W	A Fable	William Faulkner	0	top_A	61	40
/works/OL2238016W	Conversazione in Sicilia	Elio Vittorini	0	top_C	29	29
/works/OL7573352W	Editor's choice	Alfred Dashiell	0	top_B	0	0
/works/OL1848727W	Growing Up	Angela Mackail Thirkell	0	top_B	0	0
/works/OL7694764W	Jane Eyre	Carlin, Jerome	0	top_B	0	0
/works/OL2742623W	On writing	Anaïs Nin	0	top_B	44	40
/works/OL7965949W	The Fox; The Captain's Doll; The Ladybird	Lawrence, D. H.	0	top_F	0	0
/works/OL20642341W	The key	Lee Thayer	0	top_B	31	31
/works/OL1202890W	The ocean	Hanley, James	0	top_B	5	5
/works/OL1140168W	The Patriot	Pearl S. Buck	0	top_C	5	5
/works/OL17669937W	The portrait	A. G. Riddle	0	top_B	7	7
/works/OL7872443W	The promise	James B. Hendryx	0	top_B	0	0
/works/OL7730788W	The Rock	Bradfute Warwick	0	top_B	16	16
/works/OL455546W	The Scarlet Letter	Lake Education	0	top_F	36	36
/works/OL32089427W	The trial	Yonge, Charlotte Mary	0	top_B	4	4
/works/OL39316W	The Waves	Virginia Woolf	0	top_A	358	40
/works/OL22372W	The way of all flesh	Butler, Samuel	0	top_C	35	35
/works/OL3743031W	The wedding	Grace Lumpkin	0	top_B	0	0
/works/OL39575W	The years	Virginia Woolf	0	top_A	199	40
/works/OL1217995W	U.S.A	John Dos Passos	0	top_F	106	40
