work_id	title	author_name_pop	first_publish_year	jstor_mention_count	via_creators	via_jtitle	last_name
/works/OL506450W	Uncle Tom's Children	Wright, Richard	1938	9	2	7	wright
/works/OL69161W	A Modern Instance	William Dean Howells	1881	9	2	7	howells
/works/OL118978W	Lourdes	Emile Zola	1894	9	0	9	zola
/works/OL32098794W	The feather	Ford Madox Ford	1892	9	9	0	ford
/works/OL1800220W	Ramona	Helen Hunt Jackson	1884	9	1	8	jackson
/works/OL81292W	The white peacock	Lawrence, D. H.	1911	9	2	7	lawrence
/works/OL37208W	Autobiography of an Ex-Colored Man	James Weldon Johnson	1900	9	2	7	johnson
/works/OL82884W	A Rose for Emily	William Faulkner	1930	9	0	9	faulkner
/works/OL4358787W	The voyage	Morgan, Charles	1940	9	8	1	morgan
/works/OL1797341W	The Sport of the Gods	Paul Laurence Dunbar	1902	9	0	9	dunbar
/works/OL14857505W	Gli indifferenti	Moravia, Alberto	1930	9	1	8	moravia
/works/OL6833332W	The rising	Myrtle Johnston	1939	9	9	0	johnston
/works/OL20934W	Scenes of clerical life	George Eliot	1880	9	1	8	eliot
/works/OL479183W	I Malavoglia	Giovanni Verga	1881	9	2	7	verga
/works/OL81268W	St. Mawr	Lawrence, D. H.	1925	9	0	9	lawrence
/works/OL22139353W	La mort le roi Artu	Jean Frappier	1936	9	9	0	frappier
/works/OL3352321W	The Day of the Locust	Nathanael West	1939	9	0	9	west
/works/OL1865528W	The Bell Jar	Sylvia Plath	1948	9	3	6	plath
/works/OL41050W	The Masque of the Red Death	Poe, Edgar Allan	1922	9	0	9	poe
/works/OL26690W	Guillaume d'Angleterre	Chrétien	1927	9	5	4	chr tien
/works/OL2227893W	Le grand Meaulnes	Alain-Fournier	1913	9	5	4	alainfournier
/works/OL752785W	Andreas	Hugo von Hofmannsthal	1936	9	0	9	hofmannsthal
/works/OL630998W	Isabelle	André Gide	1921	9	2	7	gide
/works/OL455591W	The Old Manse	Nathaniel Hawthorne	1904	9	1	8	hawthorne
/works/OL44238347W	The jungle book	Kipling, Rudyard	1908	8	2	6	kipling
/works/OL37458933W	The tale of Genji	Murasaki Shikibu	1930	8	5	3	shikibu
/works/OL15234302W	Secretum	Francesco Petrarca	1911	8	1	7	petrarca
/works/OL26695W	Yvain, le Chevalier au lion	Chrétien	1891	8	1	7	chr tien
/works/OL42517014W	The heart of Midlothian	Scott, Walter	1910	8	1	7	scott
/works/OL52421W	Rosmersholm	Henrik Ibsen	1886	8	2	6	ibsen
/works/OL627069W	The Real Life of Sebastian Knight	Vladimir Vladimirovich Nabokov	1941	8	0	8	nabokov
/works/OL1139069W	Oblomov	Ivan Aleksandrovich Goncharov	1913	8	4	4	goncharov
/works/OL32049972W	The street	Ann Petry	1946	8	2	6	petry
/works/OL22123346W	The egoist	Meredith, George	1889	8	0	8	meredith
/works/OL15215400W	The Poetic Principle	Poe, Edgar Allan	1945	8	0	8	poe
/works/OL6221351W	The old wives tale	George Peele	1909	8	0	8	peele
/works/OL24252035W	The bride of Lammermoor	Scott, Walter	1893	8	1	7	scott
/works/OL27776452W	The Importance of Being Earnest	Oscar Wilde	1893	8	4	4	wilde
/works/OL1149270W	Jeremy	Walpole, Hugh	1919	8	1	7	walpole
/works/OL815447W	Misericordia	Benito Pérez Galdós	1913	8	4	4	gald s
/works/OL20822W	The open boat	Crane, Stephen	1898	8	0	8	crane
/works/OL9226229W	Sin Rumbo	Eugenio Cambaceres	1949	8	3	5	cambaceres
/works/OL13340217W	Salvage	Ethel M Wood	1945	8	5	3	wood
/works/OL3801007W	Die Aufzeichnungen des Malte Laurids Brigge	Rainer Maria Rilke	1910	8	0	8	rilke
/works/OL500108W	The common law	Holmes, Oliver Wendell	1881	8	3	5	holmes
/works/OL83244W	Malade imaginaire	Molière	1911	8	1	7	moli re
/works/OL2571823W	Tristrant	Eilhart	1924	8	2	6	eilhart
/works/OL2871334W	Chapel	Miles Lewis	1916	8	8	0	lewis
/works/OL69038W	The son of Royal Langbrith	William Dean Howells	1904	8	8	0	howells
/works/OL4459890W	The great rehearsal	Carl Van Doren	1948	8	8	0	doren
/works/OL5672920W	The passage	Vance Palmer	1944	8	8	0	palmer
/works/OL44047207W	Elizabeth Gaskell's Cranford	Gaskell, Elizabeth Cleghorn	1905	8	0	8	gaskell
/works/OL71165W	That hideous strength	C. S. Lewis	1945	8	0	8	lewis
/works/OL1140168W	The Patriot	Pearl S. Buck	1939	8	7	1	buck
/works/OL41065W	The Purloined Letter	Poe, Edgar Allan	1931	8	0	8	poe
/works/OL276395W	Washington Square	James, Henry	1880	8	3	5	james
/works/OL276442W	Glasses	James, Henry	1916	8	5	3	james
/works/OL42515033W	Israel Potter	Herman Melville	1925	8	0	8	melville
/works/OL39379W	A Room of One's Own	Virginia Woolf	1929	8	2	6	woolf
/works/OL16048199W	Miss Lonelyhearts	Nathanael West	1933	8	1	7	west
/works/OL174477W	The Jacksonian persuasion	Marvin Meyers	1899	8	8	0	meyers
/works/OL1862186W	The last Puritan	Santayana, George	1935	8	4	4	santayana
/works/OL42362241W	Crucible	Williams, Ben Ames	1940	8	8	0	williams
/works/OL2100605W	Don Segundo Sombra	Ricardo Güiraldes	1900	8	3	5	g iraldes
/works/OL1162685W	The English	Priestley, J. B.	1928	8	4	4	priestley
/works/OL1276176W	Sagesse	Paul Verlaine	1893	8	3	5	verlaine
/works/OL21077191W	Enormous Room	E. E. Cummings	1949	8	0	8	cummings
/works/OL17703219W	Eugenics	Warren Wood	1913	8	7	1	wood
/works/OL3335245W	The Catcher in the Rye	J. D. Salinger	1945	7	1	6	salinger
/works/OL1622789W	Noli Me Tangere	José Rizal	1902	7	1	6	rizal
/works/OL113974W	A curtain of green	Eudora Welty	1941	7	0	7	welty
/works/OL498784W	The penal colony	Franz Kafka	1948	7	0	7	kafka
/works/OL276469W	What Maisie Knew	James, Henry	1897	7	2	5	james
/works/OL15383138W	Separation	Robins, Denise	1946	7	7	0	robins
/works/OL6701421W	The cardinal	Henry Morton Robinson	1950	7	7	0	robinson
/works/OL42606488W	The arrow of gold	Conrad, Joseph	1919	7	0	7	conrad
/works/OL7545071W	Upstream	Martin J. Scott	1929	7	7	0	scott
/works/OL44011838W	Short stories	Sam P. Davis	1886	7	7	0	davis
/works/OL2414045W	In parenthesis	Jones, David	1937	7	0	7	jones
/works/OL3492538W	Plum bun	Jessie Redmon Fauset	1900	7	1	6	fauset
/works/OL687133W	Xenophon's Cyropaedia	Xenophon.	1891	7	0	7	xenophon
/works/OL1522220W	Oklahoma	Courtney Ryley Cooper	1926	7	6	1	cooper
/works/OL12799W	Sapphira and the slave girl	Willa Cather	1940	7	2	5	cather
/works/OL16581810W	The wind in the willows	Kenneth Grahame	1913	7	1	6	grahame
/works/OL15837456W	Juanita	Leo Politi	1948	7	0	7	politi
/works/OL82915W	Requiem for a Nun	William Faulkner	1950	7	1	6	faulkner
/works/OL43439950W	The last of the Mohicans	Cooper, James Fenimore	1885	7	2	5	cooper
/works/OL276397W	The Wings of the Dove	James, Henry	1902	7	0	7	james
/works/OL914527W	Fuente Ovejuna	Lope de Vega	1909	7	6	1	vega
/works/OL16077441W	Un amour de Swann	Proust, Marcel	1919	7	1	6	proust
/works/OL38750359W	An outcast of the islands	Conrad, Joseph	1949	7	1	6	conrad
/works/OL33160522W	Winesburg, Ohio	Sherwood Anderson	1946	7	0	7	anderson
/works/OL118388W	Flatland	Edwin Abbott Abbott	1884	7	6	1	abbott
/works/OL41036W	Selected Prose and Poetry	Poe, Edgar Allan	1950	7	0	7	poe
/works/OL69114W	An imperative duty	William Dean Howells	1891	7	1	6	howells
/works/OL3535923W	Souvenir	Floyd Dell	1929	7	4	3	dell
/works/OL7714506W	The promotion	John Marvin Dean	1906	7	5	2	dean
/works/OL24423775W	Redgauntlet	Scott, Walter	1881	7	0	7	scott
/works/OL44438294W	The sea-wolf	Jack London	1930	7	0	7	london
/works/OL7863017W	The night riders	Henry Cleveland Wood	1908	7	7	0	wood
/works/OL1130393W	The mystery	Stewart Edward White	1907	7	4	3	white
/works/OL1890346W	Dust tracks on a road	Hurston, Zora Neale.	1942	7	2	5	hurston
/works/OL907227W	Static	Rupert Hughes	1932	7	7	0	hughes
/works/OL2944435W	The big sky	A. B. Guthrie	1947	7	1	6	guthrie
/works/OL276410W	The jolly corner	James, Henry	1918	7	0	7	james
/works/OL1091854W	Siege of Thebes	John Lydgate	1900	7	1	6	lydgate
