work_id	htid_count	oclc_variants	title_htrc	date_htrc	prob80_max	englishpct_max	htids
OL3863928W	1	1	The splendid spur;	1914	0.89	1.0	uc2.ark+=13960=t3xs5q29r
OL3863944W	4	2	Nicky-Nan, reservist	1915	0.88	1.0	mdp.39015063946639|uc1.b3327640|uc2.ark+=13960=t3bz67t85|nyp.33433075873194
OL3863960W	3	2	The laird's luck	1901	0.89	1.0	mdp.39015063946498|nyp.33433075874804|uc2.ark+=13960=t8w957k0k
OL3863975W	3	2	The ship of stars;	1899	0.89	1.0	uc1.b3325725|nyp.33433075873228|uc2.ark+=13960=t1cj8d33s
OL3863978W	3	2	The blue pavilions	1891	0.82	1.0	uc1.b4104140|uc2.ark+=13960=t6930tw2t|nyp.33433075873038
OL3863980W	1	1	Old fires and profitable ghosts;	1900	0.83	1.0	uc2.ark+=13960=t8z899881
OL3863983W	6	3	True Tilda	1909	0.89	1.0	uc2.ark+=13960=t77s7rn5h|mdp.39015063946472|nyp.33433075873079|uc2.ark+=13960=t2s46nq1w|uc1.b4102810|uc2.ark+=13960=t5z60pw8q
OL3863992W	6	2	Fort Amity	1904	0.89	1.0	mdp.39015063946217|uc1.b3327635|uc2.ark+=13960=t2k64k49c|uc2.ark+=13960=t9668hk5g|njp.32101065703736|uc2.ark+=13960=t1fj2d54h
OL3863995W	4	2	Hetty Wesley	1908	0.85	1.0	uc2.ark+=13960=t7pn93h96|mdp.39015002713363|nyp.33433075874812|uc2.ark+=13960=t51g0sk4c
OL38672W	4	1	Stories of Red Hanrahan ;	1914	0.88	1.0	mdp.39015008531355|njp.32101067487593|uc1.b4104177|uc2.ark+=13960=t1fj2n204
OL38677284W	3	1	Winesburg, Ohio;	1919	0.88	1.0	mdp.39015000608102|mdp.39015002136250|mdp.39015049642039
OL38687610W	1	1	The emperor	1881	0.89	1.0	nyp.33433075738983
OL38692245W	1	1	The glass	1849	0.85	1.0	njp.32101068972270
OL38700W	1	1	Nostromo;	1922	0.89	1.0	mdp.39015047659654
OL38705058W	1	1	The pirate	1906	0.72	1.0	mdp.39015027383903
OL3870774W	1	1	Penruddock of the White Lambs	1902	0.83	0.999	nyp.33433074812318
OL38712591W	1	1	Peg Woffington	1907	0.77	1.0	mdp.39015063948965
OL38712599W	1	1	The boy hunters of the Mississippi	1912	0.57	1.0	njp.32101065853507
OL38712771W	1	1	The monastery	1910	0.7	0.999	njp.32101067173631
OL38728527W	5	1	Weird tid-bits	1888	0.82	1.0	nnc1.0022035958|nnc1.0040976017|nnc1.0040976025|nnc1.0111708131|nnc1.0113307762
OL38731051W	4	1	Cease firing	1912	0.73	1.0	mdp.39015059429871|nyp.33433076072291|uc1.b4091368|uc2.ark+=13960=t3st7f68m
OL38731768W	2	1	The pilgrim's shell ; or, Fergan the quarryman, a tale from the feudal times	1904	0.67	1.0	nnc1.cu53315774|umn.31951002103950o
OL38732189W	1	1	The conqueror;	1903	0.57	0.999	coo.31924022020741
OL38732325W	2	1	Vergilius;	1904	0.89	1.0	mdp.39015030845641|uc2.ark+=13960=t5m903904
OL38733902W	1	1	Penelope's suitors	1887	0.82	1.0	mdp.39015059375926
OL38735415W	1	1	Madame Thérèse	1903	0.89	1.0	nnc1.cu53417658
OL38736122W	3	1	Extract from Captain Stormfield's visit to heaven	1909	0.87	1.0	dul1.ark+=13960=t3jw91p86|uc1.b4102282|uc2.ark+=13960=t9x05xw9q
OL38738929W	1	1	The spy of Yorktown;	1905	0.79	1.0	nnc1.1002205599
OL38740W	3	2	Tales of unrest	1900	0.89	1.0	uc1.b3582599|uc2.ark+=13960=t8cf9tz8n|nyp.33433074942909
OL38743925W	1	1	Bolanyo	1902	0.88	1.0	nyp.33433076048192
OL38744676W	1	1	Agatha Webb	1899	0.84	1.0	uc1.b4104310
OL38751344W	1	1	The abbot;	1910	0.78	0.999	nnc1.0314979470
OL38758412W	1	1	Love stories	1919	0.89	1.0	mdp.39015030710027
OL38761628W	1	1	The queen's necklace	1895	0.9	1.0	uva.x030825518
OL38763W	3	2	Victory	1921	0.88	1.0	mdp.49015000941907|uc2.ark+=13960=t4qj7mg7p|inu.32000009188204
OL38768651W	2	1	The downfall	1914	0.76	1.0	mdp.39015000587173|uc2.ark+=13960=t52f7q23z
OL38771W	3	1	Within the tides	1916	0.89	1.0	mdp.39015030742939|uc1.b3325360|uc2.ark+=13960=t1cj8gv9c
OL38778W	1	1	Youth	1903	0.84	1.0	uc2.ark+=13960=t23b68929
OL38815W	4	2	The Nigger of the Narcissus; a tale of the forecastle	1916	0.89	1.0	mdp.39015010701590|mdp.39015038916741|uc1.b3582843|uc2.ark+=13960=t9m32z401
OL38827W	3	1	The shadow line	1917	0.82	1.0	mdp.39015049892089|nyp.33433074942974|uc2.ark+=13960=t6n01c29h
OL38837W	1	1	The secret rose	1897	0.89	1.0	uc1.b4101692
OL38876W	4	3	Typhoon	1916	0.89	1.0	njp.32101068581642|mdp.39015013302610|mdp.39015013305290|mdp.39015030734464
OL38920170W	1	1	The splendid spur	1893	0.88	1.0	nyp.33433075873103
OL38920296W	3	1	Judith Shakespeare;	1884	0.83	1.0	nyp.33433081604344|nyp.33433081604534|nyp.33433081604542
OL38920503W	1	1	Stradella	1909	0.89	1.0	mdp.39015013785160
OL38932W	2	2	Falk;	1914	0.89	1.0	mdp.39015066173447|nyp.33433064528791
OL38956090W	2	1	Jaya	1914	0.89	1.0	mdp.39015031237897|yale.39002054595658
