openlibrary_work_key	selection_title	selection_author	broad_other_total	broad_other_retained_n	sampling_mode	sample_related_n	related_rate	estimated_related_n	estimated_related_n_ci_low	estimated_related_n_ci_high	sample_primary_n	primary_rate	estimated_primary_n	estimated_primary_n_ci_low	estimated_primary_n_ci_high	sample_scholarly_n	scholarly_rate	estimated_scholarly_n	estimated_scholarly_n_ci_low	estimated_scholarly_n_ci_high	sample_pedagogical_n	pedagogical_rate	estimated_pedagogical_n	estimated_pedagogical_n_ci_low	estimated_pedagogical_n_ci_high	sample_adaptation_n	adaptation_rate	estimated_adaptation_n	estimated_adaptation_n_ci_low	estimated_adaptation_n_ci_high
/works/OL35383W	Three Lives	Gertrude Stein	85	85	all_retained	1	0.011764705882352941	1.0	1.0	1.0	1	0.011764705882352941	1.0	1.0	1.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
/works/OL8193416W	The Picture of Dorian Gray	Oscar Wilde	16	16	all_retained	15	0.9375	15.0	15.0	15.0	10	0.625	10.0	10.0	10.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	5	0.3125	5.0	5.0	5.0
/works/OL1799163W	Hearts courageous	Hallie Rives	9	9	all_retained	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
/works/OL43405505W	Lady Chatterley's Lover	D. H. Lawrence	8	8	all_retained	7	0.875	7.0	7.0	7.0	2	0.25	2.0	2.0	2.0	4	0.5	4.0	4.0	4.0	0	0.0	0.0	0.0	0.0	1	0.125	1.0	1.0	1.0
/works/OL41540816W	Robert Elsmere	Mrs. Humphry Ward	3	3	all_retained	3	1.0	3.0	3.0	3.0	0	0.0	0.0	0.0	0.0	3	1.0	3.0	3.0	3.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
/works/OL1487721W	Alas	Rhoda Broughton	571	100	sampled	0	0.0	0.0	1.9810542095655137e-15	21.12328747618882	0	0.0	0.0	1.9810542095655137e-15	21.12328747618882	0	0.0	0.0	1.9810542095655137e-15	21.12328747618882	0	0.0	0.0	1.9810542095655137e-15	21.12328747618882	0	0.0	0.0	1.9810542095655137e-15	21.12328747618882
/works/OL82929W	As I Lay Dying	William Faulkner	13	13	all_retained	6	0.46153846153846156	6.0	6.0	6.0	5	0.38461538461538464	5.0	5.0	5.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	1	0.07692307692307693	1.0	1.0	1.0
/works/OL2107271W	Stepsons Of Light	Eugene Manlove Rhodes	0	0	none	0		0.0	0.0	0.0	0		0.0	0.0	0.0	0		0.0	0.0	0.0	0		0.0	0.0	0.0	0		0.0	0.0	0.0
/works/OL509889W	The Good Soldier	Ford Maddox Ford	57	57	all_retained	8	0.14035087719298245	8.0	8.0	8.0	5	0.08771929824561403	5.0	5.0	5.0	3	0.05263157894736842	3.0	3.0	3.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
/works/OL4315764W	The Heavenly Twins	Sarah Grand	8	8	all_retained	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
