work_key	ocaid
/works/OL1719790W	byshoresofsilver0000wild_r1l5
/works/OL878800W	forsytesagamanof0000gals
/works/OL1480364W	seastarorphanofc00henr_2
/works/OL471667W	rendezvousavecla0000agat
/works/OL76501W	greenmantle0000buch_g7o6
/works/OL65897W	dharmabums00kero
/works/OL98130W	thusspokezarathu00niet
/works/OL695672W	pourlamourdephil0000jacq
/works/OL1381248W	hamletrevenge0000inne
/works/OL3034463W	unclearthursbedt01maxw
/works/OL118984W	nanathrifteditio00mile
/works/OL1948159W	shipofadventure0000blyt_u6a5
/works/OL121256W	adventuresofjohn00burg
/works/OL2646771W	butteredsidedown0000ferb
/works/OL1069680W	standardeditiono0009freu_j3r9
/works/OL29305W	henryjames0000edel_d5u6
/works/OL55472W	storiesofantonch00chek
/works/OL1337072W	bwb_KU-284-374
/works/OL39160W	hiddenstaircase0000keen
/works/OL110969W	elaleph0000borg
/works/OL6677373W	pemberleyshades0000bona_h5w9
/works/OL262505W	valleyoffear0000doyl_e5i8
/works/OL99572W	northwestpassage0000kenn_n7j7
/works/OL1230613W	strangercamu00camu
/works/OL1381220W	mooremummerswife00moor
/works/OL276138W	hillsbeyond0000wolf
/works/OL1129543W	witchingofelspie00scot
/works/OL466113W	littletimbravese0000ardi_g6b2
/works/OL237080W	cihm_83697
/works/OL75487W	unknowntohistory0000yong
/works/OL1796123W	anamericanpolit02crawgoog
/works/OL1271858W	angelonaughtyone0000hele
/works/OL1348028W	callnextwitness0000maso
/works/OL151051W	adventuresoftint0000herg_u0x5
/works/OL1174834W	hauntingoftobyju0000whea
/works/OL1719794W	onbanksofplumcre0000wild_d8d3
/works/OL115067W	nybc213243
/works/OL647121W	luciasprogress0000bens_g3e2
/works/OL1388027W	swordinstone00whit
/works/OL151798W	goodnightmoon00brow
/works/OL1795828W	againsthumannatu00pool
/works/OL1328849W	emilkarl00glat
/works/OL3928057W	bigtownroundup00rainiala
/works/OL1972831W	fruleinschmidt00elizrich
/works/OL1487943W	sorrowsofsatanor00corerich
/works/OL1521803W	storyoflittlebla1903bann
/works/OL262553W	whitecompany00doyl
/works/OL457760W	cu31924027464647
/works/OL18037312W	cu31924013657717
/works/OL18095480W	cu31924022237253
/works/OL12710785W	maningreybeingep00orcz
/works/OL715620W	whirlpoo00giss
/works/OL503413W	cihm_35117
/works/OL3020830W	belowsuspicion00carr
/works/OL15415838W	lookingbeyond00geis
/works/OL108444W	carolinian00saba
/works/OL15865137W	mrmidshipmaneasy1917marr
/works/OL16335026W	youngtrless00musi
/works/OL47807W	secretofskullmou00dixo
/works/OL16094634W	eachbrightriver00mcne
/works/OL471895W	murderatvicarage0000chri
/works/OL1189316W	JorgeIcazaHuasipungo
/works/OL17675936W	ivanhoe00scot_1
/works/OL17694596W	traitorinlondon00hume
/works/OL8193416W	pictureofdoriang00osca_4
/works/OL17763759W	yearonepageoffre00blou
/works/OL471724W	mortsurlenil0000chri
/works/OL17963080W	peoplestoryofpeo0000payz
/works/OL17966106W	citationexaminat0000land
/works/OL1098364W	henrybrockenhist0000dela
/works/OL468404W	flappersphilosop0000fitz_r6i5
/works/OL471666W	murderinretrospe00chri
/works/OL77781W	emilyofnewmoon0000lucy
/works/OL2234990W	inteethofevidenc0000saye_v4q5
/works/OL3388961W	legranddieupan0000mach
/works/OL1434640W	berlinalexanderp0000dobl_t4e7
/works/OL1498223W	poildecarotte0000rena_s3b0
/works/OL274433W	velveteenrabbit0000bian_w9h6
/works/OL20069W	butterflythatsta0000kipl
/works/OL54127W	twainwhiteelephant
/works/OL54031W	connecticutyanke030320mbp
/works/OL54126W	followingtheequa02895gut
/works/OL21747086W	roseymarysbaby00iral
/works/OL23205W	grapesofwrath0000stei_j2k4
/works/OL8367718W	reflectionsingol0000mccu
/works/OL137397W	afterhouse0000mary
/works/OL573191W	growthofsoil02hamsiala
/works/OL52266W	lhomeinvisible0000well
/works/OL41038W	selectionsfrompo00poee
/works/OL262421W	adventuresofsher0000doyl_q6n9
/works/OL471602W	blackcoffee0000agat
/works/OL4782293W	cogeweahalfblood00mour
/works/OL77780W	goldenroad0000lmmo_g1s6
/works/OL1822006W	lonelyskierheron0000hamm
