work_id	oclc	htid	recordid	locnum	author	imprint	date	place	enumcron	subjects	title	prob80precise	genrepages	totalpages	englishpct	datetype	startdate	enddate	imprintdate
OL278688W	2643729	uc2.ark+=13960=t8df6p55d	7667428		Morris, William,	Portland, Me.;T. B. Mosher;1908.	1908	meu		King of Hungary;-1381;I;Matthias;Ball, John;1443-1490;Tyler's Insurrection, 1381;Fiction	A dream of John Ball	0.72	96	168	1.0	s	1908.0	    	1908
OL2790437W	4288231	uc2.ark+=13960=t4vh5f50b	7650855	PZ3.B4125Ta	Bell, Helen.	Boston;Small, Maynard & company;c1921	1921	mau			The tang	0.84	311	326	1.0	s	1921.0	    	1921
OL2796069W	12376922	nyp.33433074787635	7659677		Foulke, William Dudley,	New York;Cosmopolitan Press;1911.	1911	nyu			Dorothy Day	0.72	175	304	1.0	s	1911.0	    	1911
OL2796069W	12376922	uc2.ark+=13960=t5j96257z	7659677		Foulke, William Dudley,	New York;Cosmopolitan Press;1911.	1911	nyu			Dorothy Day	0.72	177	314	1.0	s	1911.0	    	1911
OL2796076W	7519048	mdp.39015013162543	326840		Foulke, William Dudley,	New York;London;G. P. Putnam's sons;1901.	1901	nyu		YucatÃ¡n (Mexico : State);History;Fiction	Maya;	0.86	223	258	1.0	s	1901.0	    	1901
OL2796076W	7519048	uva.x002706884	326840		Foulke, William Dudley,	New York;London;G. P. Putnam's sons;1901.	1901	nyu		YucatÃ¡n (Mexico : State);History;Fiction	Maya;	0.84	205	252	0.997	s	1901.0	    	1901
OL2818047W	4916211	nyp.33433075808687	7684593		Aubert de Gaspé, Philippe,	Boston;L.C. Page & company;1905.	1905	xx 			Cameron of Lochiel	0.79	270	322	1.0	 	1905.0	    	1905
OL2818047W	4916211	uc2.ark+=13960=t0qr4rz3h	7684593		Aubert de Gaspé, Philippe,	Boston;L.C. Page & company;1905.	1905	xx 			Cameron of Lochiel	0.79	269	316	1.0	 	1905.0	    	1905
OL28252W	6190588	mdp.39015031235800	436528		Higginson, Thomas Wentworth,	Boston;Lee & Shepard;1887.	1887	mau			The monarch of dreams	0.8	52	72	0.997	s	1887.0	    	1887
OL2831513W	2849341	mdp.39015024469945	1014647	PQ1494.L3E6 1911	Marie,	London;J. M. Dent & sons, ltd.;New York;E. P. Dutton & co.;1911	1911	|||		To 1500;French literature;Translations into English	French mediaeval romances from the lays of Marie de France, tr. by Eugene Mason	0.8	216	248	1.0	s	1911.0	    	1911
OL2831513W	2849341	uc2.ark+=13960=t02z15h64	1014647	PQ1494.L3E6 1911	Marie,	London;J. M. Dent & sons, ltd.;New York;E. P. Dutton & co.;1911	1911	|||		To 1500;French literature;Translations into English	French mediaeval romances from the lays of Marie de France, tr. by Eugene Mason	0.8	214	248	1.0	s	1911.0	    	1911
OL28434610W	2311116	nyp.33433076074503	8660440		Wharton, Edith,	New York;C. Scribner's sons;1914 [c1902	1902	nyu		American fiction	The valley of decision;	0.84	532	672	1.0	t	1914.0	1902	1914
OL2844076W	3836633	uc2.ark+=13960=t6f18ts5h	7665564	PZ3.M1336S	McClung, Nellie L.,	New York;Doubleday, Page & Company;1908.	1908	nyu			Sowing seeds in Danny	0.88	311	340	1.0	s	1908.0	    	1908
OL2848247W	10482681	uc1.b3578752	6678171		Carleton, William,	London;Simpkin, Marshall, Hamilton, Kent;1889?	1889	enk			Amusing Irish tales	0.89	249	262	1.0	s	1889.0	    	1889
OL2848247W	10482681	uc2.ark+=13960=t8df6vt4h	6678171		Carleton, William,	London;Simpkin, Marshall, Hamilton, Kent;1889?	1889	enk			Amusing Irish tales	0.89	250	264	1.0	s	1889.0	    	1889
OL2848247W	4812061	mdp.39015002186834	623356		Carleton, William,	London;Hamilton, Adams;1892.	1892	enk			Amusing Irish tales	0.88	249	278	1.0	s	1892.0	    	1892
